review_id,product,rating,review_text,review_date,do_recommend,helpful_votes,sentiment,sentiment_score,themes,defect_risk,return_signal,feature_request
R013279,Kindle E-reader,4,the reader is very compact so it can easliy fit into a bag or pocket. The auto light feature is also a plus.it takes a little bit to get adjusted to the side tabs and presume that future versions of this device will be improved upon.,2015-04-09,True,1.0,mixed,0.0,,False,False,
R024127,Fire Kids Edition Tablet,5,The tablet is okay.. my daughter uses it most of the time.,2017-03-25,True,0.0,mixed,0.0,kids_usability,False,False,
R017337,Fire HD 8 Tablet,4,"This is my third Kindle (second Fire). I use it constantly primarily for reading electronic books. Currently have over 350 books in Kindle library. Like it best when traveling as I don't have to carry a bunch of hardback books with me. Anywhere I go where I know there will be a waiting line (haircut, doctor's or dentist's office) I have it with me and use it productively to read..",2017-01-23,True,0.0,positive,0.6,,False,False,
R009349,AmazonBasics AA Batteries,5,Great batteries! who knew amazon could hit ALL of the basics!!,2016-06-16,,,positive,0.6,,False,False,
R019549,Fire HD 8 Tablet,4,Purchased as an X-mas gift for my 5 y/o son and he definitely loves this tablet. Great built-in parental controls that enable us to control daily usage time and content.,2018-02-21,True,0.0,positive,0.8,kids_usability,False,False,
R017908,Fire HD 8 Tablet,5,"This is the right device to play with puzzles, you can avoid samsung/verizon constant advertisements. Only wish the battery would last longer or charge faster.",2017-03-28,True,0.0,positive,0.6,battery_life|performance_speed,False,False,
R014512,Fire HD 8 Tablet,4,"Purchased this for my 83 year old mother to primarily use as an e-reader. It seems as this may be easier for her to see than an actual book. She does not always find new technology easy to use, but seems to be doing ok with this tablet. She also is using it to play solitaire and possibly some other games.",2017-01-23,True,0.0,positive,0.6,ease_of_use,False,False,
R015908,Fire Kids Edition Tablet,5,Great for my 7 year old she loves it!!! Great price and great product!!!,2017-01-07,True,0.0,positive,0.8,price_value,False,False,
R025122,Fire Kids Edition Tablet,5,It was the best Christmas Present for my grandson.,2017-02-04,True,0.0,positive,0.6,kids_usability,False,False,
R001456,AmazonBasics AAA Batteries,5,Best deal in town.,2017-06-18,,,positive,0.6,price_value,False,False,
R008772,AmazonBasics AA Batteries,1,Cheap price but they sure don't last very long. I won't buy the Amazn brand again.,2016-12-28,,,mixed,0.0,durability|price_value,False,False,
R005925,AmazonBasics AAA Batteries,4,I have been using Amazon Basics products for about 2 years and have always found them to be first rate. The batteries last as long as the name brand batteries and cost a lot less.,2015-08-30,,,mixed,0.0,,False,False,
R008658,AmazonBasics AA Batteries,5,"Just as good as Duracell, if not better. Do you beg to differ Here is an experiment to conduct for a school child. Use a Duracell and an Amazon to light up two light bulbs and see how long each one stays lit. Then divide: (hours lit)/(cost of battery) and see which one is the better value. I already changed out one Amazon AA in my wireless mouse and another 2 AA batteries in my wireless weather station. The mouse Amazon AA lasted about a month and a half and the weather station is still running after 3 weeks. The batteries came wrapped in packs of 4.",2015-05-26,,,positive,0.8,battery_life|price_value|kids_usability,False,False,
R018421,Fire 7 Tablet,4,Great for my kid. She takes it on all our road trip.,2017-01-07,True,0.0,positive,0.6,kids_usability,False,False,
R007698,AmazonBasics AAA Batteries,3,These batteries just don't seem to last as long as Everready batteries.,2017-04-30,,,mixed,0.0,,False,False,
R005345,AmazonBasics AAA Batteries,5,Nice quality and good duration. And it's a great value. Plus it's a huge pack so hopefully I won't run out for a while.,2016-12-16,,,positive,1.0,price_value,False,False,
R006726,AmazonBasics AAA Batteries,1,theses batteries don't last very long not worth the money,2016-01-29,,,positive,0.6,price_value,False,False,
R011762,AmazonBasics AA Batteries,3,Good deal for outdoor solar lights.,2016-10-08,,,positive,0.6,price_value,False,False,
R002142,AmazonBasics AAA Batteries,5,"Great bargain, long lasting",2016-10-20,,,positive,0.6,,False,False,
R009164,AmazonBasics AA Batteries,5,good batteries for the price,2015-10-01,,,positive,0.6,price_value,False,False,
R017270,Fire HD 8 Tablet,4,My Fire is compact and easy to use. Mainly used to read online books at lunch time. The battery lasts much longer than previous tablet I had and charges much quicker. very happy with my Fire.,2017-03-26,True,0.0,positive,0.8,battery_life|performance_speed|ease_of_use,False,False,
R006422,AmazonBasics AAA Batteries,5,These we got for the flashlight for a birthday party. They work.,2016-04-27,,,mixed,0.0,screen_display,False,False,
R011005,AmazonBasics AA Batteries,5,I am satisfied the batteries I recieved are just as good as any other name brand batteries that you could buy.,2016-08-27,,,positive,0.6,,False,False,
R001182,AmazonBasics AAA Batteries,5,good price,2016-11-04,,,positive,0.6,price_value,False,False,
R024448,Fire Kids Edition Tablet,5,Great price - great shipping - great item! Perfect Christmas gift for our granddaughter!,2016-12-14,True,0.0,positive,0.8,price_value|kids_usability,False,False,
R004449,AmazonBasics AAA Batteries,5,Great batteries for the price. Item is as described. Please keep in mind these are not lithium batteries so they won't last as long as lithium batteries. Product was delivered in 2 days with Prime membership.,2016-01-18,,,positive,0.6,price_value,False,False,
R008360,AmazonBasics AA Batteries,5,ive not had any problame with these batteries have ordered them in the past been very pleased.,2017-04-17,,,mixed,0.0,,False,False,
R017639,Fire HD 8 Tablet,5,Love my kindle it does everything I wanted I to do.,2017-04-28,True,0.0,positive,0.6,,False,False,
R007581,AmazonBasics AAA Batteries,5,I love these batteries from Amazon. I plan on stock piling my battery stock with all Amazon batteries. I am truly impressed on the packaging alone! Quality all the way! Great job Amazon!,2015-12-05,,,positive,0.8,battery_life,False,False,
R007555,AmazonBasics AAA Batteries,3,"They're the same size as the batteries they replaced. Who knows if they last longer, have more power than others until they go dead Who remembers to come back and post that these batteries worked for one day more or less than the last set you had They're batteries, and they looked like they were cheap to me. If they melt a remote control or something, I'll try to remember to come back and letchall know.",2015-08-20,,,mixed,0.0,battery_life|durability|price_value|customer_service,False,False,
R006717,AmazonBasics AAA Batteries,1,These batteries have a very short life. Need replaced every week. Used ina solar light outside Very unsatisfactory,2017-03-24,,,mixed,0.0,customer_service,False,False,
R010575,AmazonBasics AA Batteries,5,"Work great for me. I have fairly small ankles so they may be too tight for someone with large legs but they should be fine for average. They DO keep my lower legs from swelling on long shifts and keep them from hurting which is great. And they feel good, nice and silky feel",2016-07-25,,,positive,0.8,,False,False,
R014749,Fire Kids Edition Tablet,3,The tablet is for my son who is 2. That being said I noticed blotches on the screen. Never returned it due to it not making a difference to my son. I will have to upgrade him in question few years anyway. The bumper is amazing.,2017-01-06,True,0.0,mixed,0.0,screen_display|kids_usability|customer_service,False,True,
R016957,Fire HD 8 Tablet,5,This is a good tablet to own. I like the features.,2017-02-24,True,0.0,positive,0.6,,False,False,
R026161,Fire HD 8 Tablet,5,My first tablet and it is just perfect for a beginner like me. Easy to use and just the right size. I use it when I just need to check something quickly on the internet without having to turn on my desk top computer. Very fast.,2016-12-03,True,1.0,positive,1.0,performance_speed|ease_of_use,False,False,
R025989,Fire HD 8 Tablet,5,"No complaints. I just wish it played .avi, but that is not really a huge problem",2016-12-23,True,0.0,mixed,0.0,,False,False,
R002718,AmazonBasics AAA Batteries,5,Great!,2015-06-11,,,positive,0.6,,False,False,
R018179,Fire 7 Tablet,4,My 2 year old son loves this tablet. He is very engaged with the educational apps that the tablet has. Its easy to navigate. I would recommend to anyone,2017-01-18,True,0.0,positive,1.0,ease_of_use|kids_usability,False,False,
R009155,AmazonBasics AA Batteries,5,Good batteries,2015-10-19,,,positive,0.6,,False,False,
R016873,Fire HD 8 Tablet,5,It's big then the one I had I would tell my friends,2017-01-06,True,0.0,mixed,0.0,,False,False,
R014231,Fire HD 8 Tablet,5,I got this for my sister as a gift. So far so good. The price was just right.,2017-01-06,True,0.0,positive,0.6,price_value,False,False,
R005532,AmazonBasics AAA Batteries,5,I needed batteries for a set of walkie talkies that I ordered from Amazon. I ordered these at the same time to make sure I had batteries. These seem to last as long as any other brand.,2016-03-08,,,mixed,0.0,,False,False,
R008225,AmazonBasics AAA Batteries,5,"Works perfectly, I'm interested to see how they hold up over time.",2016-09-09,,,positive,0.6,,False,False,
R004254,AmazonBasics AAA Batteries,4,"Was a Gift to-for Another...but, They Loved IT also!!....driggs, 1/17/16",2016-01-17,,,positive,0.6,,False,False,
R006803,AmazonBasics AAA Batteries,5,Absolutely perfect case for a near-perfect phone. This case fits perfectly.After a few days of use you'll forget you have a case on the phone.The phone's smooth rounded edges make it near impossible not to drop the phone occasionally. This case is a must for the LG v20.The quality of this case is the best I have ever seen in a smartphone case.Well done!,2017-01-15,,,positive,0.8,,False,False,
R006612,AmazonBasics AAA Batteries,3,"Price is good but I don't think these batteries perform as well as their peers. Reading reviews from actual electricians, I think they agree.I love Amazon products but wouldn't buy these again (unless they were more than half off their competitor's prices).",2016-01-01,,,positive,0.8,price_value,False,False,
R008178,AmazonBasics AAA Batteries,5,Works as good as any other alkaline battery out there at a much better price. I will definitely buy again!,2017-08-02,,,positive,0.6,battery_life|price_value,False,False,
